processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,distance_to_centroid,cluster
8031386621,-7.9980897,-34.921421,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,1.0,23.0,1.0927269501516976,0
8033507521,-8.1169822,-34.9514882,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,10.3,0.2,51.0,0.39666250348113813,2
8030622821,-8.0048126,-34.9089606,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.2,0.4,43.0,1.1101460637851734,0
8030708021,-8.0026475,-34.9088629,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.6,53.0,1.1004997485710912,7
8030626321,-8.0016643,-34.9032599,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.2,0.4,25.0,1.0470776741763819,0
8030702121,-7.998914999999999,-34.915557,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.4,42.0,0.6001640621287557,0
8031367121,-7.9963878,-34.934371,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.2,66.0,0.7220317910869648,7
8034833321,-7.9968856,-34.9349413,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.0,66.0,0.8093456413660975,7
8031082721,-7.998290900000001,-34.9366314,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,86.0,1.7598367136581832,7
8064158022,-8.0083174,-34.9563675,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.1,24.0,2.321787027207,5
8030636921,-8.0052311,-34.9088489,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.2,0.2,43.0,1.1242527807559786,0
8030963021,-7.9988004,-34.9207864,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,43.0,0.7165824486913501,0
8030011921,-7.9960606,-34.920566,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.5,0.0,71.0,0.9919563556496355,7
8064112022,-8.0083174,-34.9563675,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,24.0,2.3311361199703393,5
8069064621,-8.1075568,-34.9563071,PV1,20 a 100m,10 a 30º,0 a 60%,Media,10.8,0.5,38.0,1.34304363310187,2
8035127521,-7.997769399999999,-34.9215106,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.0,33.0,0.7890092468779785,0
8060140022,-8.0185465,-34.9590977,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.4,16.0,2.7053456382961345,5
8037808021,-7.994911,-34.9354784,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.0,0.2,53.0,0.7159489587526779,7
8030806121,-7.999875899999998,-34.9138415,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,69.0,0.97459664395402,7
8061930422,-7.9962979,-34.9553089,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.4,0.5,63.0,1.6005004452345226,7
8059585122,-8.0115521,-34.9521723,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,21.0,2.2342207982922013,5
8061920922,-8.0084388,-34.9562007,A2,20 a 100m,10 a 30º,0 a 60%,Media,9.4,0.5,36.0,1.9096182788997536,5
8031553021,-8.1159533,-34.95822030000001,PV1,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.3,47.0,1.2525410600073938,2
8061047322,-8.0084388,-34.9562007,A2,20 a 100m,10 a 30º,0 a 60%,Media,26.5,1.1,36.0,2.1504587072978913,5
8063141722,-8.0115521,-34.9521723,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,1.4,21.0,2.3144654166473835,5
8030672521,-7.992993800000001,-34.91678220000001,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,24.0,0.8457785171715716,0
8060840122,-8.1207546,-34.9596166,PV1,20 a 100m,10 a 30º,0 a 60%,Alta,2.3,0.0,40.0,2.4139307400348913,4
8071493821,-8.1244201,-34.9566558,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,7.3,0.3,65.0,1.1236229661355641,2
8068031522,-8.1128019,-34.9459661,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.2,0.0,52.0,0.7896770711588698,2
8030953421,-7.9905397,-34.9227068,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,1.0,46.0,0.9649974544429603,7
8060610622,-8.1101748,-34.949265,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.3,0.1,50.0,1.5334873672641223,4
8071027522,-8.0132535,-34.9537331,A2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,1.2,24.0,2.9819142725849224,3
8071758022,-8.0092197,-34.95313,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.0,28.0,2.0463144077241724,5
8030688921,-7.999165799999998,-34.9155361,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,42.0,0.6053759673181167,0
8030774221,-7.9925357,-34.9191525,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.4,38.0,0.5308868793985523,0
8033994321,-8.137758,-34.9540969,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.1,52.0,1.7726046524649075,2
8058420922,-8.0085465,-34.9561661,A2,20 a 100m,10 a 30º,0 a 60%,Media,19.8,3.1,36.0,2.8711738670131006,5
8034163821,-8.0033475,-34.9367777,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.0,57.0,0.7892202528850262,7
8039024422,-8.1310572,-34.9406263,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,5.2,0.0,57.0,1.0190093658156125,2
8056542022,-8.0092197,-34.95313,A2,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.5,28.0,2.3562593428303367,5
8031460121,-8.1297462,-34.9483657,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.8,1.0,21.0,1.8858858410366954,2
8056843022,-8.0121817,-34.953143,A2,0 a 40m,0 a 5º,0 a 15%,Media,35.6,0.2,21.0,2.2387672225214463,1
8034591021,-8.113059699999999,-34.9582487,PV1,20 a 100m,10 a 30º,0 a 60%,Alta,3.0,0.3,74.0,2.5353519879295496,4
8031189621,-8.118162100000001,-34.9562091,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,3.8,0.1,83.0,2.6653971332961075,4
8018485421,-7.9978577,-34.9359316,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,59.0,0.5236425916696607,7
8056621722,-8.0121817,-34.953143,A2,0 a 40m,0 a 5º,0 a 15%,Media,35.6,0.0,21.0,2.2792786634640767,1
