processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,is_confirmed,latitude,longitude,location_strategy,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,solicitacao_data_hora
8066359322,2022/06/11,10:36,LONA NA BARREIRA DE GRANDE PORTE,DOIS IRMAOS,CGO. DA FORTUNA,"RUA SITIO SAPUCAIA, N 01",Deslizamentos de Barreiras,2,-8.0085704,-34.9561073,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,21.9,0.4,36.0,2022/06/11 10:36:00
8031386621,2021/04/12,10:10,"USUÁRIO SOLICITA COLOCAÇÃO DE LONA, PRECISA DE CAPINAÇÃO. HOUVE DESLIZAMENTO E DERRUBOU A PAREDE DO QUARTO",DOIS UNIDOS,DOIS UNIDOS,"RUA ENGENHEIRO CÉLIO DE CARLI, SN",Deslizamentos de Barreiras,2,-7.9980897,-34.921421,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,1.0,23.0,2021/04/12 10:10:00
8033507521,2021/04/15,11:52,"SR SOLICITA A COLOCAÇAO DE LONAS, CAPINAÇAO E VISTORIA NA BARREIRA QUE DESLIZOU",IBURA,LAGOA ENCANTADA,RUA JOVEM JOAO  NETOS N27,Deslizamentos de Barreiras,2,-8.1169822,-34.9514882,google maps api,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,10.3,0.2,51.0,2021/04/15 11:52:00
8063044122,2022/06/07,07:08,SOLICITA VISTORIA BARREIRA DESLIZOU E MORADOR TEM MEDO QUE VENHA ATINGIR A CASA,DOIS IRMAOS,CGO. DA FORTUNA,RUAPROFESSOR  CLAUDIO SELVA SN,Deslizamentos de Barreiras,2,-8.0083434,-34.958808,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,14.2,0.6,9.0,2022/06/07 07:08:00
8069619622,2022/06/20,08:08,"solicita vistoria e lonas. Informa também que a barreira chegou a deslizar, rasgando a lona.",DOIS IRMAOS,SITIO DOS PINTOS,"rua 2tv parque santa maria, 151",Deslizamentos de Barreiras,2,-8.0131212,-34.958266,google maps api,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,15.6,1.6,23.0,2022/06/20 08:08:00
8030622821,2021/04/10,20:31,"USUÁRIA INFORMA QUE UMA BARREIRA CAIU, ELA INFORMA QUE NÃO TEM VITIMAS, ELA SOLICITA A VISTORIA.",DOIS UNIDOS,DOIS UNIDOS,Subida da Medalha Milagrosa N378,Deslizamentos de Barreiras,2,-8.0048126,-34.9089606,google maps api,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.2,0.4,43.0,2021/04/10 20:31:00
8030708021,2021/04/11,04:49,USUÁRIA INFORMA DESLIZAMENTO DE BARREIRA E SOLICITA EQUIPE AO LOCAL.,DOIS UNIDOS,ALTO DO CAPITAO,"RUA VILA FLOR, 13",Deslizamentos de Barreiras,2,-8.0026475,-34.9088629,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.6,53.0,2021/04/11 04:49:00
8030626321,2021/04/10,20:41,"USUÁRIA INFORMA QUE HOUVE A QUEDA DE UM MURO E TAMBÉM A QUEDA PARCIAL DE UMA BARREIRA, SOLICITA UMA VISTORIA.",DOIS UNIDOS,DOIS UNIDOS,Rua Edu Lopes N40,Deslizamentos de Barreiras,2,-8.0016643,-34.9032599,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.2,0.4,25.0,2021/04/10 20:41:00
8030702121,2021/04/11,03:55,"INFORMA QUE HOUVE DESLIZAMENTO DE BARREIRA NO LOCAL , ACABOU DERRUBANDO UMA PARTE DO MURO NO LOCAL.",DOIS UNIDOS,ALTO DO MARACANA,RUA VILA FLOR N 35,Deslizamentos de Barreiras,2,-7.998914999999999,-34.915557,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.4,42.0,2021/04/11 03:55:00
8038225821,2021/04/30,07:18,SOLICITA VISTORIA EM BARREIRA POIS A BARREIRA ESTA DESLIZANDO E ESTA PRÓXIMO DA CASA,DOIS UNIDOS,ALTO DO CAPITAO,RUA MARIA MARTINS 23,Deslizamentos de Barreiras,2,-8.0011393,-34.9132234,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,7.6,0.5,55.0,2021/04/30 07:18:00
